Date,Open,High,Low,Close,Adj Close,Volume
2007-07-13,21.549999,21.799999,21.110001,21.25,10.993517,190913.0
2007-07-16,22.799999,22.799999,21.0,21.0,10.864182,203165.0
2007-07-17,21.0,21.0,20.5,20.59,10.652073,204131.0
2007-07-18,20.700001,20.700001,20.24,20.700001,10.708978,166547.0
2007-07-19,21.0,21.0,20.65,20.75,10.734847,249164.0
2007-07-20,20.799999,20.799999,20.6,20.700001,10.708978,50052.0
2007-07-23,20.5,20.5,20.1,20.5,10.605512,511123.0
2007-07-24,20.25,20.469999,20.1,20.1,10.398574,1083858.0
2007-07-25,19.809999,20.299999,19.799999,20.25,10.476175,687928.0
2007-07-26,20.1,20.299999,20.0,20.049999,10.372707,312530.0
2007-07-27,20.0,20.049999,19.1,20.0,10.346839,191398.0
2007-07-30,20.0,20.200001,19.799999,20.200001,10.450308,122800.0
2007-07-31,20.75,21.5,20.5,21.5,11.122852,620500.0
2007-08-01,20.0,20.9,20.0,20.6,10.657246,474863.0
2007-08-02,20.75,20.799999,20.5,20.5,10.605512,220525.0
2007-08-03,20.700001,20.75,19.85,19.9,10.295106,1228595.0
2007-08-06,19.5,19.9,19.299999,19.299999,9.9847,397250.0
2007-08-07,19.75,19.75,19.5,19.65,10.16577,346578.0
2007-08-08,19.799999,20.25,19.75,20.0,10.346839,445488.0
2007-08-09,18.950001,19.700001,18.950001,19.4,10.036433,998832.0
2007-08-10,19.25,19.450001,18.700001,18.700001,9.674294,790480.0
2007-08-13,19.25,19.74,18.889999,19.35,10.010568,650386.0
2007-08-14,19.299999,19.35,19.0,19.0,9.829498,278143.0
2007-08-15,18.700001,19.0,18.35,18.43,9.534614,215798.0
2007-08-16,18.049999,18.049999,17.15,17.200001,8.898283,85254.0
2007-08-17,17.5,17.5,16.799999,16.9,8.74308,1488598.0
2007-08-20,17.49,17.49,16.799999,16.870001,8.72756,78033.0
2007-08-21,17.0,17.0,16.200001,16.209999,8.386113,350693.0
2007-08-22,16.799999,17.49,16.690001,16.950001,8.768948,1041580.0
2007-08-23,17.4,18.030001,17.379999,17.4,9.001751,1493263.0
2007-08-24,17.5,17.73,17.48,17.67,9.141433,373963.0
2007-08-28,18.0,18.209999,17.6,17.950001,9.286289,523534.0
2007-08-29,17.5,20.0,17.5,18.98,9.81915,395280.0
2007-08-30,19.5,20.1,19.190001,19.190001,9.927793,799631.0
2007-08-31,19.6,20.24,19.4,20.24,10.471003,119480.0
2007-09-03,20.0,20.08,19.85,19.98,10.336493,81694.0
2007-09-04,19.9,20.15,19.9,20.15,10.42444,727074.0
2007-09-05,20.0,20.35,20.0,20.15,10.42444,764375.0
2007-09-06,20.15,20.15,19.85,20.0,10.346839,103600.0
2007-09-07,19.75,19.75,19.5,19.5,10.088168,610500.0
2007-09-10,19.5,19.65,19.469999,19.65,10.16577,798810.0
2007-09-11,19.65,19.799999,19.799999,19.799999,10.24337,0.0
2007-09-12,20.1,20.1,19.75,19.98,10.336493,30444.0
2007-09-13,19.85,20.190001,19.85,20.01,10.352015,425700.0
2007-09-14,20.200001,20.200001,19.9,20.0,10.346839,330787.0
2007-09-17,19.700001,20.1,19.700001,20.1,10.398574,181342.0
2007-09-18,20.0,20.4,20.0,20.35,10.527909,445100.0
2007-09-19,21.0,21.200001,21.0,21.200001,10.96765,1336100.0
2007-09-20,20.85,21.0,20.85,20.99,10.859009,524664.0
2007-09-21,21.25,21.25,20.799999,20.799999,10.760714,129760.0
2007-09-24,21.0,21.01,20.5,20.85,10.78658,300391.0
2007-09-25,20.799999,21.0,20.629999,20.629999,10.672765,730800.0
2007-09-26,20.799999,20.799999,20.0,20.4,10.553776,151030.0
2007-09-27,21.15,21.15,20.0,20.950001,10.838315,57507.0
2007-09-28,20.700001,20.700001,19.82,20.1,10.398574,508615.0
2007-10-01,19.9,19.9,19.610001,19.799999,10.24337,40934.0
2007-10-02,19.9,19.9,19.719999,19.75,10.217505,239600.0
2007-10-03,19.6,19.6,18.299999,18.379999,9.508744,2367972.0
2007-10-04,18.0,18.200001,17.6,18.040001,9.33285,1925223.0
2007-10-05,18.0,18.049999,17.35,17.5,9.053483,2518087.0
2007-10-08,17.5,17.799999,17.5,17.67,9.141433,4633892.0
2007-10-09,18.0,19.25,17.9,19.18,9.922619,1653212.0
2007-10-10,19.25,19.690001,19.25,19.43,10.051954,2027760.0
2007-10-11,19.549999,20.25,19.549999,19.799999,10.24337,1041089.0
2007-10-12,19.799999,20.5,19.65,20.18,10.43996,1573286.0
2007-10-15,20.700001,20.82,20.309999,20.360001,10.533082,1760378.0
2007-10-16,20.27,20.27,19.719999,19.969999,10.331318,934039.0
2007-10-17,19.700001,20.1,19.6,20.01,10.352015,466250.0
2007-10-18,20.299999,20.299999,19.5,19.5,10.088168,269973.0
2007-10-19,19.98,19.98,18.5,19.440001,10.057128,1407060.0
2007-10-22,19.700001,19.700001,19.0,19.139999,9.901924,639031.0
2007-10-23,19.9,19.9,19.030001,19.209999,9.93814,141712.0
2007-10-24,19.049999,19.09,18.9,18.9,9.777762,310677.0
2007-10-25,18.92,19.0,18.85,19.0,9.829498,142634.0
2007-10-26,19.129999,19.129999,18.75,18.780001,9.715683,227477.0
2007-10-29,19.5,19.5,18.85,18.879999,9.767417,657377.0
2007-10-30,18.799999,18.9,18.65,18.700001,9.674294,2347920.0
2007-10-31,18.6,18.700001,18.450001,18.459999,9.550134,576550.0
2007-11-01,18.299999,18.65,17.5,17.52,9.063831,313273.0
2007-11-02,17.700001,17.700001,17.450001,17.48,9.043137,495720.0
2007-11-05,17.4,17.4,16.5,16.85,8.717212,1005322.0
2007-11-06,16.85,17.4,16.85,17.25,8.924149,287770.0
2007-11-07,17.379999,17.379999,17.1,17.18,8.887936,118270.0
2007-11-08,17.200001,17.200001,17.15,17.15,8.872416,140670.0
2007-11-09,17.049999,17.049999,16.799999,16.93,8.7586,318906.0
2007-11-12,16.85,17.1,16.450001,16.5,8.536143,40600.0
2007-11-13,16.85,16.860001,16.700001,16.85,8.717212,145310.0
2007-11-14,17.200001,17.200001,17.1,17.1,8.846548,62326.0
2007-11-15,17.65,17.65,17.299999,17.299999,8.950017,42140.0
