Date,Open,High,Low,Close,Adj Close,Volume
2021-06-21,95.800003,95.800003,93.199997,93.900002,88.825233,24483
2021-06-22,92.800003,95.800003,92.699997,95.599998,90.433350,44784
2021-06-23,96.000000,96.500000,94.000000,95.400002,90.244164,34800
2021-06-24,98.000000,98.000000,93.300003,95.300003,90.149582,26099
2021-06-25,95.000000,98.000000,95.000000,95.599998,90.433350,12610
2021-06-28,98.900002,98.900002,92.900002,95.099998,89.960373,7349
2021-06-29,91.500000,101.599998,91.500000,101.599998,96.109085,110719
2021-06-30,101.000000,106.000000,100.400002,106.000000,100.271294,39727
2021-07-01,108.000000,108.000000,98.599998,101.000000,95.541519,34622
2021-07-02,101.599998,104.000000,100.000000,101.000000,95.541519,36828
2021-07-05,103.000000,103.000000,100.885368,102.400002,96.865852,8270
2021-07-06,102.199997,103.199997,98.099998,98.099998,92.798241,28005
2021-07-07,98.099998,100.599998,98.099998,99.500000,94.122581,19222
2021-07-08,99.900002,101.000000,95.199997,96.000000,90.811729,32907
2021-07-09,100.000000,100.000000,96.699997,97.000000,91.757698,10166
2021-07-12,100.000000,100.400002,97.000000,100.000000,94.595558,36545
2021-07-13,99.500000,100.599998,98.500000,99.800003,94.406364,14331
2021-07-14,101.000000,101.000000,97.599998,98.500000,93.176628,7320
2021-07-15,99.599998,99.599998,98.000000,98.400002,93.082031,13176
2021-07-16,96.099998,99.000000,96.000000,96.000000,90.811729,13244
2021-07-19,95.699997,98.414879,93.900002,95.199997,90.054962,11670
2021-07-20,95.000000,97.300003,94.900002,95.199997,90.054962,20917
2021-07-21,95.199997,96.599998,93.199997,95.000000,89.865776,11334
2021-07-22,97.000000,98.000000,94.199997,97.900002,92.609055,18159
2021-07-23,98.900002,102.000000,96.965538,98.599998,93.271225,17273
2021-07-26,101.599998,115.400002,101.199997,109.000000,103.109161,32814
2021-07-27,109.199997,116.000000,102.176033,113.199997,107.082176,120807
2021-07-28,111.400002,115.400002,111.400002,113.800003,107.649757,33291
2021-07-29,115.599998,115.599998,113.000000,115.000000,108.784897,24306
2021-07-30,117.800003,117.800003,112.400002,113.199997,107.082176,17617
2021-08-02,114.400002,116.400002,113.199997,114.000000,107.838943,10508
2021-08-03,115.000000,116.000000,114.199997,114.599998,108.406509,21554
2021-08-04,115.599998,115.599998,113.599998,114.800003,108.595703,8331
2021-08-05,115.000000,116.000000,114.400002,115.199997,108.974083,11358
2021-08-06,117.000000,117.000000,114.400002,114.400002,108.217323,5065
2021-08-09,115.000000,116.400002,114.199997,114.800003,108.595703,28635
2021-08-10,114.599998,116.400002,114.599998,114.800003,108.595703,24842
2021-08-11,115.000000,115.199997,110.599998,110.599998,104.622688,8246
2021-08-12,112.000000,112.800003,109.000000,111.000000,105.001076,30565
2021-08-13,111.000000,112.599998,110.000000,111.000000,105.001076,19568
2021-08-16,113.400002,113.400002,105.500000,110.199997,104.244301,27993
2021-08-17,110.000000,110.400002,108.599998,109.599998,103.676743,26466
2021-08-18,109.000000,112.599998,107.000000,107.599998,101.784821,22564
2021-08-19,112.800003,112.800003,107.800003,109.000000,103.109161,11268
2021-08-20,108.000000,109.000000,107.000000,107.800003,101.974014,25240
2021-08-23,113.000000,113.000000,108.000000,112.800003,107.675133,89128
2021-08-24,113.000000,117.199997,112.000000,113.199997,108.056961,33636
2021-08-25,115.000000,117.000000,112.400002,113.199997,108.056961,50492
2021-08-26,116.000000,117.199997,113.400002,113.400002,108.247879,36538
2021-08-27,116.000000,116.000000,111.000000,113.199997,108.056961,18051
2021-08-31,113.199997,116.800003,113.199997,114.400002,109.202438,64803
2021-09-01,116.000000,116.000000,113.599998,113.599998,108.438782,12576
2021-09-02,115.599998,116.000000,112.199997,113.199997,108.056961,11921
2021-09-03,115.000000,115.800003,111.000000,111.199997,106.147820,36058
2021-09-06,111.000000,112.000000,110.199997,111.199997,106.147820,5606
2021-09-07,111.000000,114.000000,109.000000,112.400002,107.293304,43760
2021-09-08,115.000000,115.000000,112.000000,113.400002,108.247879,10023
2021-09-09,113.599998,113.800003,111.599998,112.800003,107.675133,107001
2021-09-10,113.199997,114.599998,112.400002,113.000000,107.866043,11476
2021-09-13,110.800003,113.400002,109.400002,113.000000,107.866043,32449
2021-09-14,113.800003,113.800003,110.000000,113.000000,107.866043,19675
2021-09-15,113.000000,114.000000,112.000000,113.000000,107.866043,14642
2021-09-16,112.599998,114.000000,112.599998,113.000000,107.866043,43050
2021-09-17,113.000000,115.000000,112.800003,114.000000,108.820610,44282
2021-09-20,113.599998,113.800003,108.599998,113.400002,108.247879,41167
2021-09-21,113.400002,113.400002,110.199997,112.000000,106.911476,21739
2021-09-22,112.000000,114.199997,111.000000,113.599998,108.438782,33810
2021-09-23,114.000000,114.000000,110.400002,111.000000,105.956909,38443
2021-09-24,111.000000,112.599998,109.599998,111.000000,105.956909,15632
2021-09-27,114.000000,114.000000,107.000000,108.599998,103.665947,24975
2021-09-28,109.000000,109.800003,107.599998,108.599998,103.665947,21994
2021-09-29,109.199997,109.199997,102.599998,104.800003,100.038597,20650
2021-09-30,108.400002,108.400002,103.800003,106.199997,101.374985,64381
2021-10-01,109.599998,109.599998,104.800003,107.599998,102.711380,22412
2021-10-04,109.599998,109.599998,105.000000,105.800003,100.993164,17629
2021-10-05,105.199997,109.000000,105.199997,106.000000,101.184074,12571
2021-10-06,106.000000,108.599998,105.400002,108.000000,103.093208,6434
2021-10-07,108.000000,110.800003,107.199997,109.000000,104.047783,85237
2021-10-08,109.599998,111.199997,108.400002,111.000000,105.956909,60219
2021-10-11,109.400002,111.000000,108.800003,110.000000,105.002342,57057
2021-10-12,110.000000,111.800003,109.400002,111.000000,105.956909,7144
2021-10-13,111.000000,112.000000,111.000000,111.599998,106.529648,9506
2021-10-14,111.000000,117.400002,111.000000,116.199997,110.920654,10273
2021-10-15,116.000000,120.800003,116.000000,120.199997,114.738922,18183
2021-10-18,120.199997,122.400002,120.000000,120.000000,114.548012,15397
2021-10-19,121.599998,122.599998,120.599998,121.199997,115.693481,12768
2021-10-20,123.800003,123.800003,120.400002,121.000000,115.502571,6970
2021-10-21,122.000000,122.800003,113.000000,121.000000,115.502571,15863
2021-10-22,120.000000,122.599998,120.000000,121.199997,115.693481,11342
2021-10-25,123.599998,131.399994,122.599998,129.800003,123.902763,50445
2021-10-26,130.000000,136.800003,130.000000,135.800003,129.630157,24704
2021-10-27,138.600006,147.000000,137.000000,137.000000,130.775650,51071
2021-10-28,137.000000,143.000000,134.399994,141.600006,135.166672,121754
2021-10-29,142.000000,145.399994,141.000000,145.000000,138.412170,17749
2021-11-01,145.000000,145.800003,140.000000,140.000000,133.639343,23755
2021-11-02,144.000000,144.000000,141.000000,143.000000,136.503036,18727
2021-11-03,144.199997,148.399994,141.000000,141.800003,135.357559,17790
2021-11-04,145.600006,145.600006,140.199997,143.000000,136.503036,38784
2021-11-05,143.199997,144.399994,137.000000,139.399994,133.066605,14657
2021-11-08,139.600006,145.000000,137.800003,141.800003,135.357559,24109
2021-11-09,142.000000,142.399994,139.600006,141.000000,134.593903,6543
2021-11-10,143.000000,143.000000,139.000000,140.600006,134.212082,4380
2021-11-11,142.800003,142.800003,138.996658,139.000000,132.684784,8360
2021-11-12,140.800003,140.800003,132.000000,135.000000,128.866501,34039
2021-11-15,136.000000,141.000000,131.600006,132.199997,126.193726,23808
2021-11-16,132.199997,132.199997,125.400002,128.000000,122.184540,68478
2021-11-17,129.800003,130.600006,124.000000,126.400002,120.657242,29565
2021-11-18,127.800003,128.000000,121.400002,123.599998,117.984451,33411
2021-11-19,124.400002,126.000000,121.000000,125.400002,119.702667,98536
2021-11-22,125.400002,128.800003,121.400002,123.000000,118.421188,11262
2021-11-23,125.000000,125.000000,119.000000,119.400002,114.955200,18854
2021-11-24,117.800003,124.800003,115.400002,124.800003,120.154182,19100
2021-11-25,125.000000,133.000000,124.800003,129.000000,124.197830,13757
2021-11-26,128.800003,129.000000,124.000000,127.000000,122.272285,32706
2021-11-29,125.000000,131.399994,123.000000,128.600006,123.812729,24756
2021-11-30,123.000000,132.000000,123.000000,129.000000,124.197830,130442
2021-12-01,133.000000,133.000000,126.599998,128.000000,123.235054,14139
2021-12-02,126.800003,133.000000,121.599998,127.400002,122.657394,15849
2021-12-03,128.000000,130.399994,125.800003,128.000000,123.235054,22597
2021-12-06,128.000000,128.000000,121.400002,125.000000,120.346733,20000
2021-12-07,121.000000,135.000000,121.000000,133.000000,128.048920,55697
2021-12-08,133.000000,139.000000,131.600006,134.000000,129.011703,89176
2021-12-09,132.000000,135.286194,128.000000,128.600006,123.812729,8616
2021-12-10,128.199997,129.800003,127.400002,128.600006,123.812729,8573
2021-12-13,133.000000,134.000000,129.197357,129.199997,124.390381,6724
2021-12-14,130.000000,132.199997,129.000000,129.399994,124.582932,14091
2021-12-15,133.000000,133.000000,126.000000,128.600006,123.812729,15265
2021-12-16,130.000000,130.600006,124.400002,126.000000,121.309509,15596
2021-12-17,123.000000,123.000000,116.400002,121.000000,116.495636,33994
2021-12-20,116.000000,126.400002,116.000000,119.800003,115.340317,24046
2021-12-21,121.000000,122.000000,117.400002,119.599998,115.147751,10274
2021-12-22,118.199997,120.800003,116.599998,118.599998,114.184982,12820
2021-12-23,118.599998,124.800003,116.199997,119.000000,114.570091,21193
2021-12-24,120.000000,120.199997,117.599998,119.000000,114.570091,1147
2021-12-29,119.199997,119.599998,114.199997,119.000000,114.570091,27887
2021-12-30,114.000000,121.199997,114.000000,119.000000,114.570091,27505
2021-12-31,119.000000,120.000000,116.000000,116.000000,111.681770,9684
2022-01-04,116.000000,118.599998,113.000000,118.000000,113.607323,14651
2022-01-05,115.000000,115.000000,82.000000,82.000000,78.947456,398744
2022-01-06,78.800003,87.400002,70.000000,87.000000,83.761322,511713
2022-01-07,90.900002,98.199997,90.199997,92.000000,88.575203,213311
2022-01-10,99.199997,104.000000,84.500000,85.699997,82.509720,167413
2022-01-11,87.900002,98.000000,87.900002,92.000000,88.575203,437516
2022-01-12,95.099998,99.800003,93.000000,98.800003,95.122063,90679
2022-01-13,100.000000,100.800003,98.000000,98.000000,94.351837,47639
2022-01-14,98.000000,100.199997,93.099998,94.900002,91.367241,109375
2022-01-17,95.000000,99.000000,94.000000,94.900002,91.367241,11893
2022-01-18,97.000000,97.500000,90.000000,90.000000,86.649651,45542
2022-01-19,91.000000,94.400002,88.300003,93.400002,89.923080,32158
2022-01-20,93.000000,93.000000,87.599998,89.900002,86.553375,30102
2022-01-21,88.400002,89.900002,83.000000,86.699997,83.472496,54907
2022-01-24,83.000000,85.900002,79.000000,80.000000,77.021912,73118
2022-01-25,81.400002,85.000000,80.099998,82.099998,79.043739,27702
2022-01-26,84.699997,85.000000,81.199997,82.500000,79.428848,32389
2022-01-27,81.000000,84.500000,79.500000,81.000000,77.984688,50328
2022-01-28,79.000000,81.400002,77.900002,80.000000,77.021912,38170
2022-01-31,83.699997,86.699997,81.199997,85.000000,81.835777,13145
